81000014,Condicionamento em Odontologia
81000030,Consulta odontológica
81000049,Consulta odontológica de Urgência
81000057,Consulta odontológica de Urgência 24 hs
81000065,Consulta odontológica inicial
81000073,Consulta odontológica para avaliação técnica de auditoria
81000111,Diagnóstico anatomopatológico em citologia esfoliativa na região buco-maxilo-facial
81000138,Diagnóstico anatomopatológico em material de biópsia na região buco-maxilo-facial
81000154,Diagnóstico anatomopatológico em peça cirúrgica na região buco-maxilo-facial
81000170,Diagnóstico anatomopatológico em punção na região buco-maxilo-facial
81000189,Diagnóstico e planejamento para tratamento odontológico
81000197,Diagnóstico e tratamento de estomatite herpética
81000200,Diagnóstico e tratamento de estomatite por candidose
81000219,Diagnóstico e tratamento de halitose
81000235,Diagnóstico e tratamento de xerostomia
81000243,Diagnóstico por meio de enceramento
81000260,Diagnóstico por meio de procedimentos laboratoriais
81000294,Levantamento Radiográfico (Exame Radiodôntico)
81000375,Radiografia interproximal - bite-wing
81000383,Radiografia oclusal
81000405,Radiografia panorâmica de mandíbula/maxila (ortopantomografia)
81000421,Radiografia periapical
81000545,Sem descrição
81000570,Sem descrição
82000026,Acompanhamento de tratamento/procedimento cirúrgico em odontologia
82000034,Alveoloplastia
82000050,Amputação radicular com obturação retrógrada
82000069,Amputação radicular sem obturação retrógrada
82000077,Apicetomia birradiculares com obturação retrógrada
82000085,Apicetomia birradiculares sem obturação retrógrada
82000158,Apicetomia multirradiculares com obturação retrógrada
82000166,Apicetomia multirradiculares sem obturação retrógrada
82000174,Apicetomia unirradiculares com obturação retrógrada
82000182,Apicetomia unirradiculares sem obturação retrógrada
82000190,Aprofundamento/aumento de vestíbulo
82000212,Aumento de coroa clínica
82000239,Biópsia de boca
82000247,Biópsia de glândula salivar
82000255,Biópsia de lábio
82000263,Biópsia de língua
82000271,Biópsia de mandíbula
82000280,Biópsia de maxila
82000298,Bridectomia
82000301,Bridotomia
82000336,Cirurgia odontológica a retalho
82000352,Cirurgia para exostose maxilar
82000360,Cirurgia para torus mandibular – bilateral
82000387,Cirurgia para torus mandibular – unilateral
82000395,Cirurgia para torus palatino
82000417,Cirurgia periodontal a retalho
82000441,Coleta de raspado em lesões ou sítios específicos da região buco-maxilo-facial
82000468,Controle de hemorragia com aplicação de agente hemostático em região buco-maxilo-facial
82000484,Controle de hemorragia sem aplicação de agente hemostático em região buco-maxilo-facial
82000506,Controle pós-operatório em odontologia
82000557,Cunha proximal
82000662,Enxerto gengival livre
82000689,Enxerto pediculado
82000700,Estabilização de paciente por meio de contenção física e/ou mecânica
82000743,Exérese de lipoma na região buco-maxilo-facial
82000778,Exérese ou excisão de cálculo salivar
82000786,Exérese ou excisão de cistos odontológicos
82000794,Exérese ou excisão de mucocele
82000808,Exérese ou excisão de rânula
82000816,Exodontia a retalho
82000832,Exodontia de permanente por indicação ortodôntica/protética
82000859,Exodontia de raiz residual
82000875,Exodontia simples de permanente
82000883,Frenulectomia labial
82000891,Frenulectomia lingual
82000905,Frenulotomia labial
82000913,Frenulotomia lingual
82000921,Gengivectomia
82000948,Gengivoplastia
82001022,"Incisão e Drenagem extra-oral de abscesso, hematoma e/ou flegmão da região buco-maxilo-facial"
82001030,"Incisão e Drenagem intra-oral de abscesso, hematoma e/ou flegmão da região buco-maxilo-facial"
82001073,Odonto-secção
82001103,Punção aspirativa na região buco-maxilo-facial
82001154,Reconstrução de sulco gengivo-labial
82001170,Redução cruenta de fratura alvéolo dentária
